assignment_id,shipment_id,vehicle_id,plate_number,driver_status,assignment_confirmed,speed_kmph,telemetry_lat,telemetry_lon,telemetry_recorded_at,anomaly_type,anomaly_severity,anomaly_detected_at,vehicle_capacity_kg,shipment_weight_kg,utilization_pct,is_overweight_alert,planned_arrival,actual_arrival_at,shipment_deadline,time_to_deadline_minutes,delivery_status,total_distance_km,stop_sequence,vehicle_current_lat,vehicle_current_lon,origin_lat,origin_lon,dest_lat,dest_lon,waypoints_json,shipment_priority
ASN_8732,SHIP_5473,VEH_002,MH42H2359,ON_DUTY,False,75.87,26.046744,80.746741,2026-08-15 06:01:55.666168+00:00,LOW_SPEED,0.34,2026-08-14 17:28:55.160189+00:00,10000.00,7101.57,71.02,False,2026-08-16 03:28:55.160217+00:00,2026-08-16 04:11:55.160217+00:00,2026-08-15 17:28:55.160244+00:00,686.99,DELAYED,479.34,9,26.046744,80.746741,22.084310,87.701080,32.819070,68.860850,"[{'lat': 13.7756, 'lon': 87.27591}, {'lat': 18.13439, 'lon': 83.37859}]",LOW
ASN_1611,SHIP_3016,VEH_003,RJ77A5713,ON_DUTY,True,83.44,9.235040,92.371760,2026-08-15 06:01:55.666168+00:00,,,,10000.00,6660.70,66.61,False,2026-08-15 02:28:59.049632+00:00,2026-08-15 02:41:59.049632+00:00,2026-08-17 17:28:59.049657+00:00,3567.06,DELAYED,2462.71,6,9.235040,92.371760,34.536560,79.931430,9.235040,92.371760,"[{'lat': 29.3113, 'lon': 83.46004}, {'lat': 16.30535, 'lon': 90.46913}, {'lat': 31.75877, 'lon': 69.67038}, {'lat': 30.56148, 'lon': 82.75527}, {'lat': 21.33429, 'lon': 72.668}]",HIGH
ASN_5173,SHIP_4032,VEH_004,MH42H2359,AVAILABLE,True,27.88,27.331697,74.406285,2026-08-15 06:01:55.666168+00:00,LOW_SPEED,0.34,2026-08-14 17:29:02.951269+00:00,3500.00,2927.48,83.64,False,2026-08-16 08:29:02.951305+00:00,2026-08-16 10:11:02.951305+00:00,2026-08-15 17:29:02.951329+00:00,687.12,DELAYED,1316.33,8,27.331697,74.406285,28.603460,73.599830,24.650730,76.106350,"[{'lat': 30.42704, 'lon': 75.91347}, {'lat': 27.10103, 'lon': 89.21286}, {'lat': 27.05897, 'lon': 71.44191}]",MEDIUM
ASN_2833,SHIP_5921,VEH_006,RJ77A5713,ON_DUTY,True,71.66,18.491579,90.843452,2026-08-15 06:01:55.666168+00:00,,,,10000.00,2961.37,29.61,False,2026-08-15 11:29:11.040562+00:00,2026-08-15 12:23:11.040562+00:00,2026-08-21 17:29:11.040606+00:00,9327.26,DELAYED,1048.91,10,18.491579,90.843452,35.697420,96.142880,11.011320,88.539520,"[{'lat': 11.39838, 'lon': 81.00668}, {'lat': 26.48564, 'lon': 92.86262}, {'lat': 25.90884, 'lon': 75.57193}, {'lat': 17.68784, 'lon': 81.5446}]",MEDIUM
ASN_7347,SHIP_5544,VEH_007,RJ77A5713,ON_DUTY,False,38.38,20.150234,96.483492,2026-08-15 06:01:55.666168+00:00,LOW_SPEED,0.34,2026-08-14 17:29:15.341552+00:00,7500.00,3319.57,44.26,False,2026-08-15 12:29:15.341578+00:00,2026-08-15 14:28:15.341578+00:00,2026-08-21 17:29:15.341618+00:00,9327.33,DELAYED,657.98,5,20.150234,96.483492,30.824610,96.408740,14.657160,96.521960,"[{'lat': 23.67513, 'lon': 96.39275}, {'lat': 30.7218, 'lon': 72.03472}]",LOW
ASN_9786,SHIP_5384,VEH_008,MH42H2359,AVAILABLE,False,59.24,22.606805,85.008600,2026-08-15 06:01:55.666168+00:00,ROUTE_DEVIATION,0.72,2026-08-14 17:29:18.927468+00:00,3500.00,8980.01,256.57,True,2026-08-16 00:29:18.927509+00:00,2026-08-16 00:48:18.927509+00:00,2026-08-19 17:29:18.927551+00:00,6447.39,DELAYED,1630.47,2,22.606805,85.008600,27.305420,96.222050,15.693300,68.509220,"[{'lat': 11.99986, 'lon': 76.69298}, {'lat': 34.21366, 'lon': 90.61362}]",MEDIUM
ASN_7917,SHIP_9812,VEH_009,RJ77A5713,ON_DUTY,True,37.44,26.209445,87.253840,2026-08-15 06:01:55.666168+00:00,LOW_SPEED,0.34,2026-08-14 17:29:22.816308+00:00,5000.00,626.83,12.54,False,2026-08-16 01:29:22.816340+00:00,2026-08-16 03:26:22.816340+00:00,2026-08-15 17:29:22.816363+00:00,687.45,DELAYED,471.52,3,26.209445,87.253840,24.793970,83.150340,28.405320,93.619740,"[{'lat': 26.70164, 'lon': 72.19625}, {'lat': 29.61634, 'lon': 83.61322}, {'lat': 34.71534, 'lon': 80.28579}, {'lat': 22.25632, 'lon': 78.66742}, {'lat': 27.24279, 'lon': 69.9266}]",MEDIUM
ASN_3341,SHIP_2182,VEH_011,RJ77A5713,AVAILABLE,True,45.53,19.076000,72.877700,2026-08-15 06:01:55.666168+00:00,ROUTE_DEVIATION,0.72,2026-08-15 09:24:23.967825+00:00,3500.00,2102.87,60.08,False,2026-08-16 03:24:23.967916+00:00,2026-08-16 04:27:23.967916+00:00,2026-08-21 09:24:23.967948+00:00,8842.47,DELAYED,1454.33,10,19.076000,72.877700,19.076000,72.877700,28.613900,77.209000,"[{'lat': 13.25715, 'lon': 93.23929}, {'lat': 27.01935, 'lon': 73.53162}]",MEDIUM
ASN_2341,SHIP_4157,VEH_012,MH42H2359,AVAILABLE,True,53.05,19.076000,72.877700,2026-08-15 06:01:55.666168+00:00,ROUTE_DEVIATION,0.72,2026-08-15 11:23:11.779173+00:00,10000.00,738.34,7.38,False,2026-08-17 02:23:11.781500+00:00,2026-08-17 02:35:11.781500+00:00,2026-08-21 11:23:11.782840+00:00,8961.27,DELAYED,1123.38,6,19.076000,72.877700,19.076000,72.877700,28.613900,77.209000,"[{'lat': 13.46971, 'lon': 69.16565}, {'lat': 14.57418, 'lon': 74.91558}]",LOW
ASN_2671,SHIP_3039,VEH_013,GJ23F8773,AVAILABLE,True,77.96,19.076000,72.877700,2026-08-15 06:01:55.666168+00:00,ROUTE_DEVIATION,0.72,2026-08-15 11:31:30.424053+00:00,3500.00,4808.60,137.39,True,2026-08-17 01:31:30.424236+00:00,2026-08-17 02:09:30.424236+00:00,2026-08-21 11:31:30.424310+00:00,8969.58,DELAYED,1072.28,1,19.076000,72.877700,19.076000,72.877700,28.613900,77.209000,"[{'lat': 22.28156, 'lon': 77.44269}, {'lat': 25.57988, 'lon': 95.42176}, {'lat': 16.28368, 'lon': 96.32858}]",MEDIUM
