assignment_id,shipment_id,vehicle_id,plate_number,driver_status,assignment_confirmed,speed_kmph,telemetry_lat,telemetry_lon,telemetry_recorded_at,anomaly_type,anomaly_severity,anomaly_detected_at,vehicle_capacity_kg,shipment_weight_kg,utilization_pct,is_overweight_alert,planned_arrival,actual_arrival_at,shipment_deadline,time_to_deadline_minutes,delivery_status,total_distance_km,stop_sequence,vehicle_current_lat,vehicle_current_lon,origin_lat,origin_lon,dest_lat,dest_lon,waypoints_json,shipment_priority
ASN_0741,SHIP_8388,VEH_001,GJ23F8773,ON_DUTY,False,71.06,29.956090,69.245740,2026-08-15 08:08:03.545853+05:30,ROUTE_DEVIATION,0.72,2026-08-14 16:27:41.932237+05:30,5000.00,4210.18,84.20,False,2026-08-15 03:27:41.932272+05:30,2026-08-15 03:58:41.932272+05:30,2026-08-18 16:27:41.932287+05:30,4819.64,DELAYED,2387.13,8,29.956090,69.245740,15.655580,94.726500,29.956090,69.245740,"[{'lat': 30.94762, 'lon': 78.75036}, {'lat': 8.07301, 'lon': 75.1283}, {'lat': 32.02935, 'lon': 95.96922}, {'lat': 17.41565, 'lon': 72.35314}]",LOW
ASN_4071,SHIP_2945,VEH_002,RJ77A5713,AVAILABLE,False,56.07,28.435345,74.935802,2026-08-15 08:08:03.545853+05:30,LOW_SPEED,0.34,2026-08-14 16:38:23.516259+05:30,5000.00,8003.04,160.06,True,2026-08-15 19:38:23.516299+05:30,2026-08-15 20:06:23.516299+05:30,2026-08-16 16:38:23.516315+05:30,1950.33,DELAYED,1044.79,2,28.435345,74.935802,23.564710,70.195200,32.052080,78.455980,"[{'lat': 28.91517, 'lon': 78.09015}, {'lat': 30.78735, 'lon': 89.03196}, {'lat': 20.91349, 'lon': 90.17018}]",MEDIUM
ASN_2660,SHIP_4793,VEH_003,MH42H2359,AVAILABLE,True,74.64,23.844484,74.991187,2026-08-15 08:08:03.545853+05:30,LOW_SPEED,0.34,2026-08-14 16:40:42.131134+05:30,5000.00,2486.92,49.74,False,2026-08-15 13:40:42.131224+05:30,2026-08-15 15:25:42.131224+05:30,2026-08-18 16:40:42.131243+05:30,4832.64,DELAYED,1533.67,7,23.844484,74.991187,30.004460,87.845480,21.634900,70.380350,"[{'lat': 11.19172, 'lon': 80.20079}, {'lat': 31.40914, 'lon': 77.7586}, {'lat': 22.82059, 'lon': 94.52263}]",LOW
ASN_3920,SHIP_9946,VEH_004,RJ77A5713,AVAILABLE,False,50.59,26.058071,71.833595,2026-08-15 08:08:03.545853+05:30,ROUTE_DEVIATION,0.72,2026-08-14 16:40:47.081542+05:30,7500.00,2523.71,33.65,False,2026-08-15 12:40:47.081573+05:30,2026-08-15 13:29:47.081573+05:30,2026-08-18 16:40:47.081601+05:30,4832.73,DELAYED,93.37,4,26.058071,71.833595,29.314790,70.417160,25.100220,72.250190,"[{'lat': 35.98724, 'lon': 73.39173}, {'lat': 13.61481, 'lon': 75.81392}]",HIGH
ASN_1240,SHIP_4297,VEH_005,GJ23F8773,AVAILABLE,False,50.59,34.056300,77.768170,2026-08-15 08:08:03.545853+05:30,,,,10000.00,3991.34,39.91,False,2026-08-15 01:40:51.641385+05:30,2026-08-15 03:26:51.641385+05:30,2026-08-17 16:40:51.641398+05:30,3392.80,DELAYED,878.95,8,34.056300,77.768170,10.961020,96.829530,34.056300,77.768170,"[{'lat': 9.11557, 'lon': 92.03969}, {'lat': 22.81065, 'lon': 94.84348}, {'lat': 32.40135, 'lon': 84.02987}, {'lat': 11.02675, 'lon': 77.12771}]",HIGH
ASN_4715,SHIP_6612,VEH_006,GJ23F8773,ON_DUTY,False,26.85,10.612782,77.103316,2026-08-15 08:08:03.545853+05:30,LOW_SPEED,0.34,2026-08-14 16:40:56.186427+05:30,10000.00,4080.66,40.81,False,2026-08-16 00:40:56.186444+05:30,2026-08-16 01:09:56.186444+05:30,2026-08-18 16:40:56.186457+05:30,4832.88,DELAYED,1916.24,3,10.612782,77.103316,12.457650,82.545970,8.637070,71.274650,"[{'lat': 32.02029, 'lon': 75.19754}, {'lat': 9.66391, 'lon': 75.00743}, {'lat': 19.32208, 'lon': 75.90332}, {'lat': 20.24509, 'lon': 84.16591}]",HIGH
ASN_9393,SHIP_3511,VEH_007,RJ77A5713,ON_DUTY,False,55.72,24.274181,83.158667,2026-08-15 08:08:03.545853+05:30,LOW_SPEED,0.34,2026-08-14 16:41:01.263726+05:30,5000.00,6282.53,125.65,True,2026-08-16 11:41:01.263749+05:30,2026-08-16 12:31:01.263749+05:30,2026-08-18 16:41:01.263764+05:30,4832.96,DELAYED,1330.50,1,24.274181,83.158667,23.834370,79.233200,25.058390,90.158000,"[{'lat': 14.65503, 'lon': 79.47532}, {'lat': 11.61877, 'lon': 89.70543}, {'lat': 26.51639, 'lon': 87.33035}, {'lat': 33.05091, 'lon': 83.79831}, {'lat': 20.64417, 'lon': 70.87544}]",MEDIUM
ASN_2498,SHIP_1369,VEH_008,MH42H2359,ON_DUTY,False,45.67,18.355640,95.964490,2026-08-15 08:08:03.545853+05:30,ROUTE_DEVIATION,0.72,2026-08-14 16:41:07.125420+05:30,7500.00,6617.19,88.23,False,2026-08-14 22:41:07.125440+05:30,2026-08-15 00:06:07.125440+05:30,2026-08-18 16:41:07.125495+05:30,4833.06,DELAYED,1349.27,1,18.355640,95.964490,12.220970,75.757160,18.355640,95.964490,"[{'lat': 13.23404, 'lon': 87.34996}, {'lat': 14.15617, 'lon': 88.40079}, {'lat': 11.48831, 'lon': 78.12007}, {'lat': 32.26818, 'lon': 70.13975}]",HIGH
ASN_1882,SHIP_9484,VEH_009,GJ23F8773,AVAILABLE,False,59.66,22.280292,96.893359,2026-08-15 08:08:03.545853+05:30,LOW_SPEED,0.34,2026-08-14 16:41:12.460560+05:30,3500.00,8209.97,234.57,True,2026-08-15 08:41:12.460580+05:30,2026-08-15 09:17:12.460580+05:30,2026-08-15 16:41:12.460597+05:30,513.15,DELAYED,1359.05,8,22.280292,96.893359,21.434550,95.289800,22.310540,96.950710,"[{'lat': 32.46787, 'lon': 90.58911}, {'lat': 31.14007, 'lon': 85.43557}, {'lat': 26.76012, 'lon': 86.46198}]",HIGH
ASN_8589,SHIP_1535,VEH_010,GJ23F8773,ON_DUTY,False,58.68,20.196065,93.176745,2026-08-15 08:08:03.545853+05:30,ROUTE_DEVIATION,0.72,2026-08-14 16:41:23.173909+05:30,10000.00,802.26,8.02,False,2026-08-16 05:41:23.173928+05:30,2026-08-16 07:03:23.173928+05:30,2026-08-21 16:41:23.173943+05:30,9153.33,DELAYED,492.24,3,20.196065,93.176745,20.542140,95.960270,19.713060,89.291870,"[{'lat': 25.9352, 'lon': 73.35339}, {'lat': 31.20009, 'lon': 70.5402}, {'lat': 12.24865, 'lon': 69.41901}, {'lat': 27.49185, 'lon': 93.41602}, {'lat': 28.51658, 'lon': 89.53022}]",HIGH
